field,smallest_angle
HOPS-12,67.61352731268992
HOPS-290,4.951708629772326
HOPS-92,46.71461123753758
HOPS-288,85.9110830247488
HOPS-203,56.42359865804172
HH270VLA1,73.71999624186199
HOPS-32,73.57940332808799
HOPS-84,53.39196142269085
HOPS-168,79.12269963636422
HOPS-281,47.0476174752777
HOPS-312,79.51119480405409
HOPS-364,24.34847586919259
HOPS-395,88.81529027740515
HOPS-400,71.43897924728351
HOPS-182,36.876662692867036
HOPS-323,78.71959938233918
HOPS-282,80.07405319625508
HOPS-366,80.2487475203535
HOPS-193,83.05339552996462
HOPS-304,80.04349922405724
HOPS-361-N,87.48066845389556
HOPS-384,35.422304681274696
HOPS-363,30.88006892598847
HOPS-173,79.02077882095351
HOPS-75,89.73756553231436
HOPS-213,54.93010169509778
